AccountNoOrig	Networth	Name of Account Holder	Bank Identification Number	AML Risk Rating	Country of Domicile	Beneficiary Details	Type of Account	PEP	Sanctions
C347419231	5676	Nancy	M1212C347419231	Medium	US	M322981749	Savings	N	N
C1999434859	0	Ashley	M1212C1999434859	Low	US	C991505714	Savings	N	N
C257614494	122	Kimberly	M1212C257614494	High	US	M533053618	Savings	N	N
C971497536	0	Melissa	M1212C971497536	High	US	M630313530	Savings	N	N
C2037835062	0	Stephanie	M1212C2037835062	Low	US	M1728726840	Savings	N	N
C2025652936	33332.86	Nicole	M1212C2025652936	Medium	US	C1662235713	Savings	N	N
C30589523	832	Amit	M1212C30589523	Low	India	C843467284	Current	N	N
C1433070882	30880	Barbara	M1212C1433070882	Low	US	M1470726905	Savings	N	N
C1110157751	20051	Karen	M1212C1110157751	Low	US	C1129670968	Savings	N	N
C225273918	147930	Nancy	M1212C225273918	Medium	US	M1120917396	Savings	N	N
C1140430871	0	Ashley	M1212C1140430871	Low	US	C803116137	Savings	N	N
C1445443819	15256	Gary	M1212C1445443819	Low	US	M1241385933	Current	N	N
C1898469011	30037	Stephen	M1212C1898469011	Low	US	M832152066	Current	N	N
C341829803	53057	Pamela	M1212C341829803	Low	US	M993293369	Savings	N	N
C1852287168	183121.09	Emma	M1212C1852287168	High	US	C1590550415	Savings	N	N
C1911013695	1161124.63	Brandon	M1212C1911013695	Low 	US	C145693769	Current	N	N
C580212331	1461150.97	Helen	M1212C580212331	Low	US	C1829344035	Savings	N	N
C1868914109	3261440.41	Rachel	M1212C1868914109	Low 	US	C787033725	Savings	N	N
C2142777203	4132314.38	Janet	M1212C2142777203	Low	US	C1926673338	Savings	N	N
C155129334	4884697.26	Tyler	M1212C155129334	Medium	US	C766681183	Current	N	N
C265202525	72916	Nathan	M1212C265202525	Medium	US	M2034523899	Current	N	N
C361948480	103559	Joyce	M1212C361948480	High	US	C1297685781	Savings	N	N
C691200351	0	Robert	M1212C691200351	Low	US	M1033400986	Current	N	N
C1037521082	0	Barbara	M1212C1037521082	Low	US	M2129636512	Savings	N	N
C751702204	202	Betty	M1212C751702204	Low	US	M1931691665	Savings	N	N
C715160960	141440	Donald	M1212C715160960	High	US	M1774316039	Current	N	N
C864622150	25975.86	Donna	M1212C864622150	Medium	US	C41792607	Savings	N	N
C710088247	6183195.8	Alexander	M1212C710088247	Medium	US	C399685190	Current	N	N
C447059608	6323635.24	Frank	M1212C447059608	Medium	US	C909295153	Current	N	N
C1172738852	7230776.84	Janet	M1212C1172738852	Low	US	C1394526584	Savings	N	N
C1101590744	7419933.98	Maria	M1212C1101590744	Medium	US	C985934102	Savings	N	N
C56859396	7596484.86	Tyler	M1212C56859396	Medium	US	C701692548	Current	N	N
C748807322	21802	Aaron	M1212C748807322	Low	US	M451833108	Current	N	N
C1079378870	3130	Julie	M1212C1079378870	Medium	US	C1134894336	Savings	N	N
C1328537405	4329.38	Saurav	M1212C1328537405	Low 	India	M219679073	Current	N	N
C349708076	478	Jennifer	M1212C349708076	Low	US	M1574138492	Savings	N	N
C390827278	27740	Joseph	M1212C390827278	Low	US	M287649987	Current	N	N
C523461097	0	Sarah	M1212C523461097	Low	US	M250331355	Savings	N	N
C1511814681	50799	Betty	M1212C1511814681	Low	US	M547964633	Savings	N	N
C682812632	26768.5	Donald	M1212C682812632	High	US	C256417920	Current	N	N
C1557594596	172432	Donna	M1212C1557594596	Medium	US	M1821462977	Savings	N	N
C1557602018	30779	Kenneth	M1212C1557602018	Medium	US	M1034769247	Current	N	N
C371637727	0	Deborah	M1212C371637727	Medium	US	M693317265	Savings	N	N
C602529144	0	Laura	M1212C602529144	Medium	US	C1636786811	Savings	N	N
C187070277	385000.46	Ruth	M1212C187070277	Medium	US	M836903781	Savings	N	N
C49018148	581	Jose	M1212C49018148	Low	US	M1102948993	Current	N	N
C440159038	605	Olivia	M1212C440159038	Low	US	M1195834252	Savings	N	N
C1363127070	186344.56	Amit	M1212C1363127070	Low	India	C1360767589	Current	N	N
C560565850	32051	Jennifer	M1212C560565850	Low	US	M64761620	Savings	N	N
C780764854	29910	Michael	M1212C780764854	Medium	US	M1462028250	Current	N	N
C1872376613	56755.06	Daniel	M1212C1872376613	Low	US	C691404076	Current	N	N
C686366573	801	Matthew	M1212C686366573	High	US	M382992974	Current	N	N
C798259	33252	Donald	M1212C798259	High	US	M823672546	Current	N	N
C664856270	103243	Dorothy	M1212C664856270	Low	US	M729827711	Savings	N	N
C441236678	15973	Deborah	M1212C441236678	Medium	US	C1356054329	Savings	N	N
C78646617	0	Eric	M1212C78646617	Medium	US	C1286084959	Current	N	N
C1234328865	0	Stephen	M1212C1234328865	Low	US	C1023714065	Current	N	N
C286720552	0	Brenda	M1212C286720552	Medium	US	C909295153	Savings	N	N
C952457866	0	Helen	M1212C952457866	Low	US	C1013700132	Savings	N	N
C1245825773	531411.26	Raymond	M1212C1245825773	High	US	C657736958	Current	N	N
C621257072	62018	Robert	M1212C621257072	Low	US	M2116089059	Current	N	N
C1828522217	25058	William	M1212C1828522217	Low 	US	M1422562336	Current	N	N
C1106840336	0	Nancy	M1212C1106840336	Medium	US	C1997859171	Savings	N	N
C1859997666	11842.88	Margaret	M1212C1859997666	Low 	US	M1402047326	Savings	N	N
C310426339	1119.74	Steven	M1212C310426339	Medium	US	M627727856	Current	N	N
C72847563	0	Paul	M1212C72847563	Low	US	M1940248684	Current	N	N
C295145298	0	Amy	M1212C295145298	Medium	US	C40075281	Savings	N	N
C384119884	23480.69	Angela	M1212C384119884	Low	US	C1789550256	Savings	N	N
C92686444	10089	Katherine	M1212C92686444	Medium	US	M193240998	Savings	N	N
C1553686114	430	Jose	M1212C1553686114	Low	US	M1015178392	Current	N	N
C1159395201	19532	Olivia	M1212C1159395201	Low	US	M57973803	Savings	N	N
C499774893	22043	Jennifer	M1212C499774893	Low	US	C1345063038	Savings	N	N
C688176214	0	Linda	M1212C688176214	High	US	M2075283526	Savings	N	N
C717874492	74776	Richard	M1212C717874492	Medium	US	C1440325059	Current	N	N
C1127171622	10958	Joseph	M1212C1127171622	Low	US	M696007235	Current	N	N
C799306600	33036	Daniel	M1212C799306600	Low	US	M56115670	Current	N	N
C236396435	3116	Margaret	M1212C236396435	Low 	US	M78461289	Savings	N	N
C125455276	152109	Kimberly	M1212C125455276	High	US	M1397735927	Savings	N	N
C1256374299	99105	Brian	M1212C1256374299	Low 	US	C33524623	Current	N	N
C480975330	2778	Dorothy	M1212C480975330	Low	US	M1752820099	Savings	N	N
C643899512	9147	Deborah	M1212C643899512	Medium	US	M1421622223	Savings	N	N
C1010620325	8586	Stephanie	M1212C1010620325	Low	US	M158065070	Savings	N	N
C2102241065	837	Christine	M1212C2102241065	Low	US	M557037330	Savings	N	N
C1375428582	10563	Rachel	M1212C1375428582	Low 	US	C1058634310	Savings	N	N
C1554303114	450387	Patrick	M1212C1554303114	Low	US	M395436593	Current	N	N
C1577428742	197	Jose	M1212C1577428742	Low	US	M2016530858	Current	N	N
C208438522	31324	Robert	M1212C208438522	Low	US	C1777369261	Current	N	N
C1684572536	14802	John	M1212C1684572536	Low 	US	M1297242263	Current	N	N
C376299447	528	Richard	M1212C376299447	Medium	US	M1571025706	Current	N	N
C689749616	20868.38	Joseph	M1212C689749616	Low	US	C1345063038	Current	N	N
C1465731291	46153	Sarah	M1212C1465731291	Low	US	M456577608	Savings	N	N
C2123685471	62093	Charles	M1212C2123685471	Medium	US	M1234980193	Current	N	N
C1961537655	262810.01	Ashley	M1212C1961537655	Low	US	M811843176	Savings	N	N
C655326029	41718	Emily	M1212C655326029	Medium	US	M1454834922	Savings	N	N
C1711229836	20086	Donna	M1212C1711229836	Medium	US	M193041293	Savings	N	N
C663531845	29411	Joshua	M1212C663531845	Low 	US	M715194034	Current	N	N
C199907649	21112	Carol	M1212C199907649	High	US	M234287515	Savings	N	N
C966541452	3783751.45	Eric	M1212C966541452	Medium	US	C932583850	Current	N	N
C160572332	4205112.52	Shirley	M1212C160572332	High	US	C1750905143	Savings	N	N
C78580816	6362261.28	Samuel	M1212C78580816	Low	US	C736709391	Current	N	N
C823790002	6564756.68	Gregory	M1212C823790002	High	US	C2043975568	Current	N	N
C1834289317	324	Mahesh	M1212C1834289317	Medium	India	M272354463	Savings	N	N
C642086628	0	Daniel	M1212C642086628	Low	US	C194746285	Current	N	N
C271696288	0	Margaret	M1212C271696288	Low 	US	C1789550256	Savings	N	N
C1939178534	26382.75	Paul	M1212C1939178534	Low	US	M596848689	Current	N	N
C1510403823	98620	Stephanie	M1212C1510403823	Low	US	M470610323	Savings	N	N
C1228499113	0	Rebecca	M1212C1228499113	Low	US	C1339257929	Savings	N	N
C1583532569	0	Angela	M1212C1583532569	Low	US	C1880332929	Savings	N	N
C826884252	0	Pamela	M1212C826884252	Low	US	C1504109395	Savings	N	N
C1257785974	102163	Christine	M1212C1257785974	Low	US	M190838539	Savings	N	N
C1460265227	73909	Alexander	M1212C1460265227	Medium	US	M290172400	Current	N	N
C553276023	0	Maria	M1212C553276023	Medium	US	M396875464	Savings	N	N
C224885737	0	Ruth	M1212C224885737	Medium	US	M267368044	Savings	N	N
C1514901029	228951.93	John	M1212C1514901029	Low 	US	C214774813	Current	N	N
C82287653	0	Sarah	M1212C82287653	Low	US	C787033725	Savings	N	N
C1246215324	895	Matthew	M1212C1246215324	High	US	M1359003971	Current	N	N
C452471720	23582	Donald	M1212C452471720	High	US	M1883027286	Current	N	N
C1486334689	31680	Ashley	M1212C1486334689	Low	US	M299617083	Savings	N	N
C1792277476	277142.26	Michelle	M1212C1792277476	Low	US	C991363637	Savings	N	N
C387487256	448638.22	Kenneth	M1212C387487256	Medium	US	C985934102	Current	N	N
C159581451	808170.99	Carol	M1212C159581451	High	US	C1023714065	Savings	N	N
C1789767826	1238257.69	Kevin	M1212C1789767826	Low	US	C451111351	Current	N	N
C1445045873	2818477.59	Timothy	M1212C1445045873	Low	US	C1782113663	Current	N	N
C560497703	3163568.06	Ronald	M1212C560497703	High	US	C1477979030	Current	N	N
C1291180441	11273	Jason	M1212C1291180441	Medium	US	M1272902791	Current	N	N
C1132206727	151.23	Brenda	M1212C1132206727	Medium	US	C836514715	Savings	N	N
C1532347350	82786	Larry	M1212C1532347350	Low 	US	M1821268676	Current	N	N
C1041117256	2202950.03	Richard	M1212C1041117256	Medium	US	C75457651	Current	N	N
C131976509	2900580.18	Sarah	M1212C131976509	Low	US	C1467806809	Savings	N	N
C1310797638	4396554.92	Betty	M1212C1310797638	Low	US	C1909504164	Savings	N	N
C103415428	4560751.96	Anthony	M1212C103415428	Medium	US	C1331052438	Current	N	N
C70952807	5239094.93	Donald	M1212C70952807	High	US	C1880332929	Current	N	N
C1180122366	5854483.56	Steven	M1212C1180122366	Medium	US	C1850180796	Current	N	N
C143929038	6805261.07	Michelle	M1212C143929038	Low	US	C1515704208	Savings	N	N
C354764137	7129421.37	Carol	M1212C354764137	High	US	C803116137	Savings	N	N
C979049207	7529643.29	Amanda	M1212C979049207	Medium	US	C625088521	Savings	N	N
C727050829	8626510	Edward	M1212C727050829	Medium	US	C1554540309	Current	N	N
C1676534432	8734769.9	Rebecca	M1212C1676534432	Low	US	C1356054329	Savings	N	N
C1922662433	8990876.62	Sharon	M1212C1922662433	Low 	US	C1083142315	Savings	N	N
C1872941234	9256935.91	Cynthia	M1212C1872941234	Low	US	C1254893565	Savings	N	N
C2126940193	11500000	Eric	M1212C2126940193	Medium	US	C1590550415	Current	N	N
C1535875885	12200000	Brenda	M1212C1535875885	Medium	US	C956986674	Savings	N	N
C2054926467	12300000	Larry	M1212C2054926467	Low 	US	C2101977504	Current	N	N
C1990156323	105737	Benjamin	M1212C1990156323	Medium	US	M950410369	Current	N	N
C788790720	17320.91	Samantha	M1212C788790720	High	US	C1589547066	Savings	N	N
C1710905079	0	Olivia	M1212C1710905079	Low	US	C1401316767	Savings	N	N
C6932197	133	Joyce	M1212C6932197	High	US	M1850981199	Savings	N	N
